"","id","name","date_from","date_to","lat_start","lon_start","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"50",3917,"Atlantic Pollock",2003,2009,48.453,-4.842,45,59,47901,4418,"9/28/2016 22:41:41"
"51",2339,"Atlantic Pollock",1995,1999,40.45,-68.99,166,342,15307,3952,"5/22/2011 0:00:00"
"52",2328,"Atlantic Pollock",1899,2010,40.15,-69.45,123,333,66620,4110,"9/29/2011 0:00:00"
"53",2537,"Atlantic Pollock",1997,2010,43.691,-11.347,191,204,260027,2759,"9/28/2016 23:57:18"
"54",2684,"Atlantic Pollock",1970,2014,45.693,-65.915,135,203,78218,4322,"9/29/2016 17:28:47"
"55",4356,"Atlantic Pollock",1950,2012,46.5,-179.715,110,114,23562,5564,"9/28/2016 15:31:20"
"56",2499,"Atlantic Pollock",1991,2011,54.067,9.723,114,133,768651,2760,"9/29/2016 6:58:10"
"57",4300,"Atlantic Pollock",2004,2007,51.576,3.354,67,71,16225,4660,"9/29/2016 9:15:07"
"58",2319,"Atlantic Pollock",1875,2009,-16.683,-156.485,1090,2255,169236,3943,"2/17/2011 0:00:00"
"59",1435,"Atlantic Pollock",1948,2008,28.783,-81.4,723,1033,460938,3406,"5/21/2009 0:00:00"
"60",2490,"Atlantic Pollock",1999,2011,55.82,-15.916,69,73,44906,2767,"9/28/2016 18:52:36"
"61",2415,"Atlantic Pollock",1826,2011,-77.883,-179.95,6972,8902,75785,2442,"11/3/2010 0:00:00"
"62",3927,"Atlantic Pollock",1987,1987,62.367,4.417,11,12,891,4439,"9/29/2016 7:42:47"
"63",2393,"Atlantic Pollock",1980,1991,51.25,-5.5,159,251,133374,2144,"9/29/2016 9:20:38"
"64",2517,"Atlantic Pollock",1985,2011,48.067,-14.017,150,163,415764,2766,"9/29/2016 1:34:38"
"65",3422,"Atlantic Pollock",1972,2014,-46.874,-159.787,2822,3191,22605,4542,"9/28/2016 19:03:00"
"66",3096,"Atlantic Pollock",1956,2012,51.715,-5.328,961,1322,15585,3186,"9/28/2016 16:42:52"
"67",237,"Atlantic Pollock",1970,2015,39.972,-69.976,272,376,163619,4130,"9/29/2016 18:02:42"
"68",47,"Atlantic Pollock",1971,1996,51.423,-10.605,1364,1739,93003,345,"4/24/2016 10:13:07"
"69",103,"Atlantic Pollock",1903,2014,48.894,-10.604,1659,2698,401614,746,"9/28/2016 18:37:33"
"70",721,"Atlantic Pollock",1804,2005,-80,-180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"71",2673,"Atlantic Pollock",1902,2012,10.677,-139.95,1325,1715,9875,4311,"9/29/2016 18:54:11"
"72",1695,"Atlantic Pollock",1768,2008,-47.012,-149.625,5575,6535,22148,82,"9/29/2016 9:02:58"
"73",2814,"Atlantic Pollock",1971,2011,42.01,-60.92,365,701,540848,4757,"9/29/2016 18:26:23"
"74",3511,"Atlantic Pollock",1643,2015,-81.995,-174.565,4475,6521,85257,5006,"4/25/2016 6:26:53"
"75",2670,"Atlantic Pollock",1967,2006,31.92,-90.06,445,782,113378,4308,"9/29/2016 17:26:50"
"76",2542,"Atlantic Pollock",2004,2013,47.255,-69.328,101,138,25560,4246,"9/29/2016 17:58:12"
"77",99,"Atlantic Pollock",1908,2013,51.122,-5.714,2073,2492,43272,692,"9/28/2016 23:48:23"
"78",3016,"Atlantic Pollock",1953,1999,40,-71.417,19,21,271456,4923,"9/29/2016 18:59:37"
"79",36,"Atlantic Pollock",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"80",2417,"Atlantic Pollock",1891,2011,-89.247,-178.75,4043,6034,104844,4017,"10/6/2011 0:00:00"
"81",248,"Atlantic Pollock",1971,2006,-70.314,-85.744,1014,1502,124043,1172,"9/28/2016 22:24:37"
"82",2500,"Atlantic Pollock",1965,2011,49.841,-3.967,210,296,2960513,2763,"9/28/2016 19:31:45"
"83",2419,"Atlantic Pollock",1975,2010,-75.052,-177.272,761,788,2874,4015,"9/28/2016 22:38:13"
"84",3064,"Atlantic Pollock",2003,2011,51.433,-10.605,689,939,31210,4537,"9/29/2016 4:12:03"
"85",230,"Atlantic Pollock",1903,1909,41.26,-71.32,1305,1433,46294,3436,"2/6/2008 0:00:00"
"86",1693,"Atlantic Pollock",2000,2009,42.852,-70.801,125,147,38661,3829,"9/15/2010 0:00:00"
"87",3125,"Atlantic Pollock",1970,2009,50.107,-9.937,927,1087,3512,3187,"9/29/2016 6:48:10"
"88",38,"Atlantic Pollock",1970,1995,5.34,-86.18,266,273,466736,4106,"8/10/2007 0:00:00"
"89",30,"Atlantic Pollock",1903,2000,12.5,-73.5,101,148,4089,4132,"10/31/2011 0:00:00"
"90",2557,"Atlantic Pollock",1753,1990,55.52,11.176,40,43,11389,3145,"9/28/2016 22:48:37"
"91",3067,"Atlantic Pollock",1786,2008,49,-17,134,140,1135,4536,"9/29/2016 4:01:03"
"92",89,"Atlantic Pollock",1976,2007,49.403,-10.608,431,611,10046,641,"9/29/2016 4:34:46"
"93",2530,"Atlantic Pollock",1987,2011,48.718,-3.967,169,198,390947,2761,"9/29/2016 6:18:07"
"94",3414,"Atlantic Pollock",2007,2013,35.156,-76.108,191,219,37190,4883,"4/24/2016 23:45:09"
"95",2493,"Atlantic Pollock",2003,2008,50.139,-14.553,173,208,169548,2762,"9/29/2016 0:35:54"
"96",2671,"Atlantic Pollock",1833,2012,46.9,-70.88,140,185,27546,4309,"9/29/2016 18:23:22"
"97",268,"Atlantic Pollock",1840,2007,-80.8,-180,8131,9636,114408,1984,"7/17/2008 0:00:00"
"98",1512,"Atlantic Pollock",1999,2008,51.516,-10.424,611,854,6000,1947,"9/29/2016 5:39:12"
"99",3429,"Atlantic Pollock",2007,2013,58.723,-57.306,108,229,5269,4444,"9/28/2016 17:24:56"
"100",29,"Atlantic Pollock",1905,2015,-68.991,-159,1995,2747,139692,4108,"9/29/2016 17:20:50"
"101",2666,"Atlantic Pollock",2000,2009,41.7,-61.1,130,217,61068,4304,"6/28/2013 0:00:00"
"102",97,"Atlantic Pollock",1911,2014,54.639,-8.638,1714,2478,93315,690,"9/28/2016 16:37:38"
"103",1660,"Atlantic Pollock",1973,1980,27.36,-81.3,199,455,10395,3834,"7/12/2010 0:00:00"
"104",1987,"Atlantic Pollock",1954,2000,49.815,-13.63,2882,4076,584476,621,"9/29/2016 2:16:14"
"105",129,"Bluefish",1829,2005,-77.85,-155.518,1779,2205,15136,3442,"7/7/2006 0:00:00"
"106",1509,"Bluefish",0,0,-29.433,11.75,120,145,488,3398,"11/30/2009 0:00:00"
"107",1504,"Bluefish",1988,2000,27.27,-80.91,90,101,15106,3836,"10/8/2009 0:00:00"
"108",521,"Bluefish",1966,1983,-54.967,-81.017,122,156,5426,986,"10/7/2016 11:44:35"
"109",2403,"Bluefish",1951,2011,-77.617,-179.971,1325,2115,12151,3869,"10/7/2011 0:00:00"
"110",482,"Bluefish",2003,2004,-23.291,-44.69,522,636,7012,3708,"10/10/2016 12:30:44"
"111",3015,"Bluefish",2009,2009,-28.12,32.56,1103,1190,1194,4563,"10/4/2016 16:15:13"
"112",517,"Bluefish",2003,2005,-49.183,-67.317,77,90,170192,3940,"10/7/2016 11:47:38"
"113",3508,"Bluefish",1996,2013,36.838,-37.45,143,153,9837,230,"9/29/2016 8:34:51"
"114",90,"Bluefish",1996,1999,-34.682,-52.212,162,189,1886,3719,"10/10/2016 13:07:27"
"115",2319,"Bluefish",1875,2009,-16.683,-156.485,1090,2255,169236,3943,"2/17/2011 0:00:00"
"116",1435,"Bluefish",1948,2008,28.783,-81.4,723,1033,460938,3406,"5/21/2009 0:00:00"
"117",3558,"Bluefish",2000,2002,-47.25,106.25,372,390,60445,3964,"9/30/2016 13:26:53"
"118",2932,"Bluefish",0,0,-33,-52.667,251,256,2844,3704,"10/10/2016 13:22:48"
"119",2415,"Bluefish",1826,2011,-77.883,-179.95,6972,8902,75785,2442,"11/3/2010 0:00:00"
"120",3586,"Bluefish",1977,2012,32.4,-37.156,386,566,7267,4493,"9/28/2016 17:45:34"
"121",522,"Bluefish",1954,2005,-58.967,-150,108,119,1036,3919,"10/7/2016 11:54:05"
"122",168,"Bluefish",1985,2005,-34.832,11.748,166,201,2744958,3764,"12/4/2006 0:00:00"
"123",721,"Bluefish",1804,2005,-80,-180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"124",4262,"Bluefish",2000,2013,28.005,-31.538,15,18,381,4672,"9/28/2016 17:46:33"
"125",2508,"Bluefish",2003,2009,39.642,3.183,103,142,4006,3059,"9/29/2016 5:16:07"
"126",3411,"Bluefish",1986,2008,29.697,-93.936,73,80,10120,4881,"9/30/2016 22:27:30"
"127",3522,"Bluefish",1986,2008,29.745,-93.939,40,42,8985,4987,"9/30/2016 23:56:22"
"128",3470,"Bluefish",1985,1987,8.883,-16.417,122,136,9080,5009,"10/4/2016 18:31:47"
"129",2333,"Bluefish",0,0,-4.71,37.906,2514,2689,3080,3765,"5/22/2011 0:00:00"
"130",3413,"Bluefish",2002,2013,36.933,-76.517,133,164,24348,4882,"4/25/2016 3:28:29"
"131",515,"Bluefish",1961,2006,-62.23,-69.02,297,310,719,3921,"4/24/2016 21:30:31"
"132",3511,"Bluefish",1643,2015,-81.995,-174.565,4475,6521,85257,5006,"4/25/2016 6:26:53"
"133",2567,"Bluefish",1970,2001,11.2,-74.51,337,450,2231,3155,"9/28/2016 19:06:26"
"134",1496,"Bluefish",1980,2005,1.2,-96.333,73,106,231198,3401,"9/3/2009 0:00:00"
"135",4279,"Bluefish",1938,2014,24.234,-95.396,232,346,375278,5562,"9/30/2016 23:06:22"
"136",36,"Bluefish",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"137",2417,"Bluefish",1891,2011,-89.247,-178.75,4043,6034,104844,4017,"10/6/2011 0:00:00"
"138",2419,"Bluefish",1975,2010,-75.052,-177.272,761,788,2874,4015,"9/28/2016 22:38:13"
"139",1693,"Bluefish",2000,2009,42.852,-70.801,125,147,38661,3829,"9/15/2010 0:00:00"
"140",38,"Bluefish",1970,1995,5.34,-86.18,266,273,466736,4106,"8/10/2007 0:00:00"
"141",140,"Bluefish",1983,2006,17.103,5.142,183,221,7664,1982,"9/12/2006 0:00:00"
"142",128,"Bluefish",1888,2009,-77.983,-178.75,3496,3961,44343,3772,"9/1/2009 0:00:00"
"143",1506,"Bluefish",1986,2010,28.756,-81.44,378,402,184411,3391,"5/22/2011 0:00:00"
"144",3410,"Bluefish",1981,2007,30.162,-88.387,190,201,565188,4878,"9/30/2016 21:55:03"
"145",30,"Bluefish",1903,2000,12.5,-73.5,101,148,4089,4132,"10/31/2011 0:00:00"
"146",2546,"Bluefish",1905,2006,-78.498,-180,2886,4401,3181610,4099,""
"147",2411,"Bluefish",1965,1992,-35.85,-57.8,313,480,17519,3721,"10/10/2016 13:05:49"
"148",73,"Bluefish",1846,2005,-78.017,-175.337,4833,5334,118181,3657,"11/12/2005 0:00:00"
"149",3414,"Bluefish",2007,2013,35.156,-76.108,191,219,37190,4883,"4/24/2016 23:45:09"
"150",1665,"Bluefish",1973,1980,27.35,-81.31,207,436,7669,3847,"7/12/2010 0:00:00"
"151",2607,"Bluefish",1966,2003,33.917,35.433,766,846,24314,3474,"9/28/2016 16:30:42"
"152",4258,"Bluefish",2005,2013,26.954,-37.783,19,21,728,4674,"9/29/2016 5:00:11"
"153",1545,"Bluefish",0,0,18.211,-97.794,12878,13474,126292,3399,"1/12/2010 0:00:00"
"154",161,"Bluefish",1983,2006,-37.983,10.22,487,700,201741,3762,"11/4/2006 0:00:00"
"155",71,"Bluefish",1706,2005,-55.533,11.767,16166,18344,48349,3446,"1/6/2007 0:00:00"
"156",2432,"Bluefish",0,0,-76.9,-179.363,1783,1871,9631,3676,""
"157",268,"Bluefish",1840,2007,-80.8,-180,8131,9636,114408,1984,"7/17/2008 0:00:00"
"158",1663,"Bluefish",1979,1979,32.35,-79.02,223,377,1995,3841,"7/12/2010 0:00:00"
"159",3560,"Bluefish",1965,1978,-43.909,72.042,890,1146,74788,4773,"9/30/2016 13:22:47"
"160",29,"Bluefish",1905,2015,-68.991,-159,1995,2747,139692,4108,"9/29/2016 17:20:50"
"161",105,"Bluefish",1996,2002,-34.571,-52.075,183,188,4129,3718,"10/10/2016 12:50:39"
"162",1502,"Bluefish",1905,2009,1.502,-112.454,3239,4248,34733,3402,"9/28/2009 0:00:00"
"163",4309,"Bluefish",1997,2015,36.928,-31.127,69,75,5775,5398,"9/29/2016 5:59:39"
"164",1522,"Bluefish",1999,2000,-22.091,-40.286,280,316,426,3722,"10/10/2016 13:39:37"
"165",2318,"Bluefish",2001,2005,39,-74,50,56,517,3679,"2/16/2011 0:00:00"
"166",75,"Bluefish",1842,2005,-77.5,-179.267,1179,1182,9413,3783,"11/14/2005 0:00:00"
"167",1659,"Bluefish",1973,1980,28.74,-81.37,411,530,16826,3394,"7/12/2010 0:00:00"
"168",3215,"Bluefish",1985,2010,-20.578,11.214,592,970,65243,4728,"10/4/2016 16:21:35"
"169",1660,"Bluefish",1973,1980,27.36,-81.3,199,455,10395,3834,"7/12/2010 0:00:00"
"170",2893,"Bluefish",1970,2003,-38.361,-60.001,682,867,3248,4026,"10/10/2016 12:54:08"
"171",82,"Bluefish",0,0,-67,-138.417,508,510,3286,3796,"11/15/2005 0:00:00"
"172",3849,"Bluefish",0,0,-34.358,18.472,644,665,1983,NA,"10/6/2016 18:25:17"
"173",32,"Bluefish",0,0,0,-178.933,1360,1750,43352,4126,""
"174",32,"Golden Tilefish",0,0,0,-178.933,1360,1750,43352,4126,""
"175",268,"Golden Tilefish",1840,2007,-80.8,-180,8131,9636,114408,1984,"7/17/2008 0:00:00"
"176",1663,"Golden Tilefish",1979,1979,32.35,-79.02,223,377,1995,3841,"7/12/2010 0:00:00"
"177",36,"Golden Tilefish",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"178",2417,"Golden Tilefish",1891,2011,-89.247,-178.75,4043,6034,104844,4017,"10/6/2011 0:00:00"
"179",237,"Golden Tilefish",1970,2015,39.972,-69.976,272,376,163619,4130,"9/29/2016 18:02:42"
"180",2419,"Golden Tilefish",1975,2010,-75.052,-177.272,761,788,2874,4015,"9/28/2016 22:38:13"
"181",230,"Golden Tilefish",1903,1909,41.26,-71.32,1305,1433,46294,3436,"2/6/2008 0:00:00"
"182",721,"Golden Tilefish",1804,2005,-80,-180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"183",1661,"Golden Tilefish",1983,2000,27.93,-80.14,28,30,277,3835,"7/12/2010 0:00:00"
"184",1659,"Golden Tilefish",1973,1980,28.74,-81.37,411,530,16826,3394,"7/12/2010 0:00:00"
"185",30,"Golden Tilefish",1903,2000,12.5,-73.5,101,148,4089,4132,"10/31/2011 0:00:00"
"186",1660,"Golden Tilefish",1973,1980,27.36,-81.3,199,455,10395,3834,"7/12/2010 0:00:00"
"187",1664,"Golden Tilefish",1983,1986,32.07,-79.24,27,28,355,3844,"7/12/2010 0:00:00"
"188",1666,"Golden Tilefish",1979,2000,29.91,-80.28,22,22,245,3850,"7/12/2010 0:00:00"
"189",2319,"Golden Tilefish",1875,2009,-16.683,-156.485,1090,2255,169236,3943,"2/17/2011 0:00:00"
"190",1435,"Golden Tilefish",1948,2008,28.783,-81.4,723,1033,460938,3406,"5/21/2009 0:00:00"
"191",3511,"Golden Tilefish",1643,2015,-81.995,-174.565,4475,6521,85257,5006,"4/25/2016 6:26:53"
"192",1545,"Golden Tilefish",0,0,18.211,-97.794,12878,13474,126292,3399,"1/12/2010 0:00:00"
"193",2303,"haddock",1949,2003,15.375,11.223,87,91,140076,2784,"9/29/2016 6:07:55"
"194",2571,"haddock",1986,1987,51.55,-4.5,218,298,6110,2749,"9/29/2016 8:13:42"
"195",34,"haddock",0,0,-40.18,-124.03,99,124,785,4139,"9/29/2016 18:15:46"
"196",2672,"haddock",0,0,45.699,-69.381,64,70,87708,4310,"11/12/2015 22:23:03"
"197",32,"haddock",0,0,0,-178.933,1360,1750,43352,4126,""
"198",2538,"haddock",1993,2008,49.53,-8.007,113,128,163508,2764,"9/29/2016 4:16:07"
"199",3128,"haddock",1902,2005,-71.05,-78.867,173,185,384,2779,"9/29/2016 8:39:52"
"200",3089,"haddock",1970,2010,55.741,-4.892,146,150,1054,2999,"9/28/2016 22:35:42"
"201",3917,"haddock",2003,2009,48.453,-4.842,45,59,47901,4418,"9/28/2016 22:41:41"
"202",2339,"haddock",1995,1999,40.45,-68.99,166,342,15307,3952,"5/22/2011 0:00:00"
"203",2328,"haddock",1899,2010,40.15,-69.45,123,333,66620,4110,"9/29/2011 0:00:00"
"204",2537,"haddock",1997,2010,43.691,-11.347,191,204,260027,2759,"9/28/2016 23:57:18"
"205",2684,"haddock",1970,2014,45.693,-65.915,135,203,78218,4322,"9/29/2016 17:28:47"
"206",4356,"haddock",1950,2012,46.5,-179.715,110,114,23562,5564,"9/28/2016 15:31:20"
"207",2499,"haddock",1991,2011,54.067,9.723,114,133,768651,2760,"9/29/2016 6:58:10"
"208",4300,"haddock",2004,2007,51.576,3.354,67,71,16225,4660,"9/29/2016 9:15:07"
"209",2319,"haddock",1875,2009,-16.683,-156.485,1090,2255,169236,3943,"2/17/2011 0:00:00"
"210",1435,"haddock",1948,2008,28.783,-81.4,723,1033,460938,3406,"5/21/2009 0:00:00"
"211",1986,"haddock",1964,2004,47.428,-11.746,1509,2188,129635,640,"9/28/2016 17:40:00"
"212",2490,"haddock",1999,2011,55.82,-15.916,69,73,44906,2767,"9/28/2016 18:52:36"
"213",2415,"haddock",1826,2011,-77.883,-179.95,6972,8902,75785,2442,"11/3/2010 0:00:00"
"214",3460,"haddock",1893,1959,40.554,-68.872,2,3,1951,4973,"9/29/2016 18:47:48"
"215",3927,"haddock",1987,1987,62.367,4.417,11,12,891,4439,"9/29/2016 7:42:47"
"216",2393,"haddock",1980,1991,51.25,-5.5,159,251,133374,2144,"9/29/2016 9:20:38"
"217",2517,"haddock",1985,2011,48.067,-14.017,150,163,415764,2766,"9/29/2016 1:34:38"
"218",237,"haddock",1970,2015,39.972,-69.976,272,376,163619,4130,"9/29/2016 18:02:42"
"219",103,"haddock",1903,2014,48.894,-10.604,1659,2698,401614,746,"9/28/2016 18:37:33"
"220",721,"haddock",1804,2005,-80,-180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"221",3083,"haddock",1970,2012,53.578,-1.047,316,404,2463,3182,"9/28/2016 16:53:39"
"222",2673,"haddock",1902,2012,10.677,-139.95,1325,1715,9875,4311,"9/29/2016 18:54:11"
"223",2566,"haddock",1920,1997,57,2,4,4,284,3154,"9/28/2016 19:05:05"
"224",1695,"haddock",1768,2008,-47.012,-149.625,5575,6535,22148,82,"9/29/2016 9:02:58"
"225",2814,"haddock",1971,2011,42.01,-60.92,365,701,540848,4757,"9/29/2016 18:26:23"
"226",3511,"haddock",1643,2015,-81.995,-174.565,4475,6521,85257,5006,"4/25/2016 6:26:53"
"227",1576,"haddock",1978,2011,36.567,-69.25,88,95,727047,2159,"9/28/2016 17:50:35"
"228",2670,"haddock",1967,2006,31.92,-90.06,445,782,113378,4308,"9/29/2016 17:26:50"
"229",2561,"haddock",1893,2005,57.3,5.55,3,3,277,3149,"9/29/2016 9:16:34"
"230",2542,"haddock",2004,2013,47.255,-69.328,101,138,25560,4246,"9/29/2016 17:58:12"
"231",3016,"haddock",1953,1999,40,-71.417,19,21,271456,4923,"9/29/2016 18:59:37"
"232",36,"haddock",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"233",2417,"haddock",1891,2011,-89.247,-178.75,4043,6034,104844,4017,"10/6/2011 0:00:00"
"234",2556,"haddock",1761,1920,55.081,12.589,13,14,2113,3144,"9/28/2016 17:08:40"
"235",2500,"haddock",1965,2011,49.841,-3.967,210,296,2960513,2763,"9/28/2016 19:31:45"
"236",2419,"haddock",1975,2010,-75.052,-177.272,761,788,2874,4015,"9/28/2016 22:38:13"
"237",230,"haddock",1903,1909,41.26,-71.32,1305,1433,46294,3436,"2/6/2008 0:00:00"
"238",1693,"haddock",2000,2009,42.852,-70.801,125,147,38661,3829,"9/15/2010 0:00:00"
"239",38,"haddock",1970,1995,5.34,-86.18,266,273,466736,4106,"8/10/2007 0:00:00"
"240",30,"haddock",1903,2000,12.5,-73.5,101,148,4089,4132,"10/31/2011 0:00:00"
"241",2557,"haddock",1753,1990,55.52,11.176,40,43,11389,3145,"9/28/2016 22:48:37"
"242",3067,"haddock",1786,2008,49,-17,134,140,1135,4536,"9/29/2016 4:01:03"
"243",2546,"haddock",1905,2006,-78.498,-180,2886,4401,3181610,4099,""
"244",2530,"haddock",1987,2011,48.718,-3.967,169,198,390947,2761,"9/29/2016 6:18:07"
"245",3414,"haddock",2007,2013,35.156,-76.108,191,219,37190,4883,"4/24/2016 23:45:09"
"246",3427,"haddock",1980,1991,62,0.167,36,44,5615,4443,"9/29/2016 8:27:41"
"247",2493,"haddock",2003,2008,50.139,-14.553,173,208,169548,2762,"9/29/2016 0:35:54"
"248",2671,"haddock",1833,2012,46.9,-70.88,140,185,27546,4309,"9/29/2016 18:23:22"
"249",268,"haddock",1840,2007,-80.8,-180,8131,9636,114408,1984,"7/17/2008 0:00:00"
"250",2954,"haddock",2007,2009,41.6,-67.23,12,16,1540,4942,"9/29/2016 17:31:23"
"251",3429,"haddock",2007,2013,58.723,-57.306,108,229,5269,4444,"9/28/2016 17:24:56"
"252",29,"haddock",1905,2015,-68.991,-159,1995,2747,139692,4108,"9/29/2016 17:20:50"
"253",97,"haddock",1911,2014,54.639,-8.638,1714,2478,93315,690,"9/28/2016 16:37:38"
"254",3433,"haddock",2006,2011,67.335,8.414,809,1224,7338,4540,"9/28/2016 18:35:12"
"255",1627,"haddock",1973,1986,25.817,-66.133,401,408,7138,2430,"9/29/2016 12:21:33"
"256",1987,"haddock",1954,2000,49.815,-13.63,2882,4076,584476,621,"9/29/2016 2:16:14"
"257",129,"John Dory",1829,2005,-77.85,-155.518,1779,2205,15136,3442,"7/7/2006 0:00:00"
"258",4287,"John Dory",1978,1979,-38.233,114.15,473,533,10571,5567,"9/30/2016 13:37:02"
