"common_name","scientific_name","coords.x1","coords.x2"
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.1625,-26.6307
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",15.3919,-27.4585
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.0769,-28.3157
"Albacore Tuna","Thunnus alalunga",16.46,-28.6362
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
"Albacore Tuna","Thunnus alalunga",16.8686,-29.2493
