"","id","name","date_from","date_to","lat_end","lon_end","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"58",2319,"Atlantic Pollock",1875,2009,88.85,165.895,1090,2255,169236,3943,"2/17/2011 0:00:00"
"59",1435,"Atlantic Pollock",1948,2008,44.867,-63.333,723,1033,460938,3406,"5/21/2009 0:00:00"
"60",2490,"Atlantic Pollock",1999,2011,58.07,-13.083,69,73,44906,2767,"9/28/2016 18:52:36"
"61",2415,"Atlantic Pollock",1826,2011,80,180,6972,8902,75785,2442,"11/3/2010 0:00:00"
"62",3927,"Atlantic Pollock",1987,1987,71.983,18.85,11,12,891,4439,"9/29/2016 7:42:47"
"63",2393,"Atlantic Pollock",1980,1991,63.25,12.5,159,251,133374,2144,"9/29/2016 9:20:38"
"64",2517,"Atlantic Pollock",1985,2011,60.883,-1.844,150,163,415764,2766,"9/29/2016 1:34:38"
"65",3422,"Atlantic Pollock",1972,2014,70.517,179.983,2822,3191,22605,4542,"9/28/2016 19:03:00"
"66",3096,"Atlantic Pollock",1956,2012,51.745,-5.218,961,1322,15585,3186,"9/28/2016 16:42:52"
"67",237,"Atlantic Pollock",1970,2015,47.933,-56.471,272,376,163619,4130,"9/29/2016 18:02:42"
"68",47,"Atlantic Pollock",1971,1996,55.445,-5.382,1364,1739,93003,345,"4/24/2016 10:13:07"
"69",103,"Atlantic Pollock",1903,2014,60.863,1.962,1659,2698,401614,746,"9/28/2016 18:37:33"
"70",721,"Atlantic Pollock",1804,2005,80.2,180,11716,11829,505852,4354,"3/16/2009 0:00:00"
"71",2673,"Atlantic Pollock",1902,2012,81.142,4.616,1325,1715,9875,4311,"9/29/2016 18:54:11"
"72",1695,"Atlantic Pollock",1768,2008,85,180,5575,6535,22148,82,"9/29/2016 9:02:58"
"73",2814,"Atlantic Pollock",1971,2011,57.69,-40.74,365,701,540848,4757,"9/29/2016 18:26:23"
"74",3511,"Atlantic Pollock",1643,2015,79.964,179.803,4475,6521,85257,5006,"4/25/2016 6:26:53"
"75",2670,"Atlantic Pollock",1967,2006,77.09,-41,445,782,113378,4308,"9/29/2016 17:26:50"
"76",2542,"Atlantic Pollock",2004,2013,52.223,-55.405,101,138,25560,4246,"9/29/2016 17:58:12"
"77",99,"Atlantic Pollock",1908,2013,52.178,-4.287,2073,2492,43272,692,"9/28/2016 23:48:23"
"78",3016,"Atlantic Pollock",1953,1999,66.333,-46.333,19,21,271456,4923,"9/29/2016 18:59:37"
"79",36,"Atlantic Pollock",0,0,44.85,-65.4,2145,2294,2381,4107,"8/15/2007 0:00:00"
"80",2417,"Atlantic Pollock",1891,2011,86.017,179.756,4043,6034,104844,4017,"10/6/2011 0:00:00"
"81",248,"Atlantic Pollock",1971,2006,70.417,67.306,1014,1502,124043,1172,"9/28/2016 22:24:37"
