"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","name","coords.x1","coords.x2","optional"
"20",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795121"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1795121</a>","FB 2809532","Albacore Tuna",-103.75,-28.75,TRUE
"21",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1793998"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1793998</a>","FB 2808409","Albacore Tuna",-93.75,-3.75,TRUE
"22",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797468"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797468</a>","FB 2811879","Albacore Tuna",-83.75,28.75,TRUE
"23",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794472"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794472</a>","FB 2808883","Albacore Tuna",-78.75,-18.75,TRUE
"24",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"United States (c",NA,NA,"Montauk, Long Island","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1775583"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1775583</a>","IGFA","Albacore Tuna",-72.919898,40.699752,TRUE
"25",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797949"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797949</a>","FB 2812360","Albacore Tuna",-63.75,33.75,TRUE
"26",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798369"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798369</a>","FB 2812780","Albacore Tuna",-53.75,43.75,TRUE
"27",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797332"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797332</a>","FB 2811743","Albacore Tuna",-48.75,23.75,TRUE
"28",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,"2004","Percy Salcedo","Uruguay","<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1466115"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1466115</a>",NA,"Albacore Tuna",-44.506667,-30.2585,TRUE
"29",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796773"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796773</a>","FB 2811184","Albacore Tuna",-43.75,13.75,TRUE
"30",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796749"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796749</a>","FB 2811160","Albacore Tuna",-38.75,13.75,TRUE
"31",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796741"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796741</a>","FB 2811152","Albacore Tuna",-33.75,13.75,TRUE
"32",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1793884"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1793884</a>","FB 2808295","Albacore Tuna",-28.75,-3.75,TRUE
"33",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796725"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796725</a>","FB 2811136","Albacore Tuna",-23.75,18.75,TRUE
