STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,B06011_001,B25105_001,B25035_001,B01003_001,B25001_001,B25002_002,B25002_003,B25003_001,B25003_002,B25003_003,B08101_001,B08101_009,B08101_017,B08101_025,B08101_033,B08101_041,B08101_049,B25033_001,B25033_002,B25033_008,B05012_001,B05012_002,B05012_003,B02001_001,B02001_002,B02001_003,B02001_004,B02001_0_1,B02001_005,B02001_006,B02001_007,B02001_008,B03002_012,B03002_002,B03002_003,B03002_004,B03002_005,B03002_006,B03002_007,B03002_008,B03002_009,B05002_002,B05002_009,B05002_013,B27020_013,PopDensKm,HuDensKm,WrkForcPct,RentPct,LANDKM,WATERKM
10,001,00217271,0500000US10001,10001,Kent,06,1518565081,549102079,26984,1064,1990,169509,67315,60571,6744,60571,42185,18386,75847,62911,7301,878,1307,737,2713,164347,116072,48275,169509,160277,9232,169509,113925,41211,,1090,3545,116,2529,7093,11096,158413,107946,39709,941,3513,47,421,5836,160277,3258,9232,4220,111.62,44.33,0.0,0.0,1518.565,549.102
10,003,00217270,0500000US10003,10003,New Castle,06,1104074671,175385786,32339,1188,1972,549643,219421,202268,17153,202268,139675,62593,263323,210618,21819,11401,5990,2686,10809,532480,378730,153750,549643,492910,56733,549643,359848,133019,,1112,27725,153,14004,13782,50568,499075,328838,129600,886,27524,81,1227,10919,492910,9110,56733,30669,497.83,198.74,0.0,0.0,1104.075,175.386
10,005,00217269,0500000US10005,10005,Sussex,06,2424465375,674255133,26895,955,1991,207302,127680,81183,46497,81183,62989,18194,88617,73273,6842,779,1961,1431,4331,204352,153478,50874,207302,193104,14198,207302,168850,26251,,938,2373,37,4462,4391,19042,188260,155138,25749,715,2317,18,529,3794,193104,2167,14198,8757,85.5,52.66,0.0,0.0,2424.465,674.255
