STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,B06011_001,B25105_001,B25035_001,B01003_001,B25001_001,B25002_002,B25002_003,B25003_001,B25003_002,B25003_003,B08101_001,B08101_009,B08101_017,B08101_025,B08101_033,B08101_041,B08101_049,B25033_001,B25033_002,B25033_008,B05012_001,B05012_002,B05012_003,B02001_001,B02001_002,B02001_003,B02001_004,B02001_0_1,B02001_005,B02001_006,B02001_007,B02001_008,B03002_012,B03002_002,B03002_003,B03002_004,B03002_005,B03002_006,B03002_007,B03002_008,B03002_009,B05002_002,B05002_009,B05002_013,B27020_013,PopDensKm,HuDensKm,WrkForcPct,RentPct,LANDKM,WATERKM
09,001,00212794,0500000US09001,09001,Fairfield,06,1618664455,548955210,35978,1814,1963,939983,363556,334320,29236,334320,228381,105939,452977,327952,37462,44742,11959,5633,25229,921584,649454,272130,939983,743901,196082,939983,694797,105683,,2234,47398,322,65297,24252,171720,768263,602311,97643,1325,47031,296,4675,14982,743901,28436,196082,109467,580.72,224.6,0.0,0.0,1618.664,548.955
09,003,00212338,0500000US09003,09003,Hartford,06,1903947639,40133958,33026,1249,1963,896943,374453,346362,28091,346362,224000,122362,430053,347879,36646,15362,9442,5163,15561,869747,588938,280809,896943,761154,135789,896943,651466,120172,,2284,42973,375,51145,28528,148744,748199,573000,112624,991,42360,275,2341,16608,761154,45698,135789,63681,471.1,196.67,0.0,0.0,1903.948,40.134
09,005,00212796,0500000US09005,09005,Litchfield,06,2384262297,62138320,35201,1331,1966,186304,87447,74518,12929,74518,57397,17121,96068,79878,6706,1342,2560,745,4837,183017,146610,36407,186304,172720,13584,186304,174220,2827,,341,3370,6,2388,3152,9649,176655,167998,2517,264,3343,6,177,2350,172720,2013,13584,6030,78.14,36.68,0.0,0.0,2384.262,62.138
09,007,00212797,0500000US09007,09007,Middlesex,06,956491412,180679144,39219,1465,1970,165165,75162,66117,9045,66117,49652,16465,86668,71621,5941,1511,2484,995,4116,158946,125085,33861,165165,152834,12331,165165,146977,8383,,130,4558,8,1538,3571,9183,155982,140206,7804,125,4558,8,256,3025,152834,2155,12331,5470,172.68,78.58,0.0,0.0,956.491,180.679
09,009,00212798,0500000US09009,09009,New Haven,06,1565645638,667096946,31369,1305,1961,862224,362351,326028,36323,326028,204886,121142,412044,324286,34278,17504,15423,5346,15207,833314,554595,278719,862224,758944,103280,862224,646775,110719,,1785,33587,143,47893,21322,141282,720942,563977,105051,1010,33381,93,2574,14856,758944,37678,103280,53266,550.71,231.44,0.0,0.0,1565.646,667.097
09,011,00212799,0500000US09011,09011,New London,06,1722641876,276619712,32115,1243,1967,273185,121258,106495,14763,106495,70847,35648,137090,108600,12548,2176,5632,1797,6337,260533,182914,77619,273185,250616,22569,273185,222560,15345,,1614,11358,101,8704,13503,26167,247018,209685,14098,1038,11313,42,237,10605,250616,7222,22569,9384,158.58,70.39,0.0,0.0,1722.642,276.62
09,013,00212668,0500000US09013,09013,Tolland,06,1062613133,17533745,32751,1382,1972,151948,58383,54467,3916,54467,39880,14587,76611,62452,5057,1637,3633,455,3377,135781,105670,30111,151948,141636,10312,151948,135481,4752,,70,5981,6,2080,3578,7387,144561,131114,4237,50,5965,6,171,3018,141636,2178,10312,4966,142.99,54.94,0.0,0.0,1062.613,17.534
09,015,00212801,0500000US09015,09015,Windham,06,1328185576,21767064,28230,1135,1968,117470,49176,44276,4900,44276,31184,13092,56841,47099,4950,323,2013,450,2006,112131,81044,31087,117470,111256,6214,117470,106086,2620,,450,1445,20,2836,4013,12376,105094,98828,2232,53,1417,20,129,2415,111256,4679,6214,3195,88.44,37.02,0.0,0.0,1328.186,21.767
